year,brand,title,youtube_url,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count
2013,E-Trade,E TRADE Baby Super Bowl Commercial  Save It,https://www.youtube.com/watch?v=F0nhq4GO90s,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,139,1,0,NA
2008,Bud Light,Budweiser breath fire superbowl commercial,https://www.youtube.com/watch?v=AhqPl1IKVo4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,24595,26,3,5
2012,Coca-Cola,Coke Coca Cola Polar Bears Super Bowl Open Happiness Campaign 'Argh' TVC Commercial Advert in 2012,https://www.youtube.com/watch?v=jhvAXT9R_3U,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,15776,63,4,2
2004,Pepsi,Jimi Hendrix Pepsi Vs Coca Cola Commercial,https://www.youtube.com/watch?v=NOOmu1Rz17Y,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55676,222,9,26
2010,Doritos,"Doritos SuperBowl Commercial - ""Dog Shock Collar""",https://www.youtube.com/watch?v=UBaZDWIs3fs,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,132054,273,18,15
2012,Kia,A Dream Car. For Real Life - 2012 Kia Optima Big Game Full Commercial - Extended Version,https://www.youtube.com/watch?v=9RI6OGXq11Y,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,56257,396,5,42
2012,NFL,NFL Timeline,https://www.youtube.com/watch?v=CPr4-P19NtE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,403641,1980,42,206
2005,Bud Light,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA
2010,Hynudai,[HD] Super Bowl 2010 Commercial with Brett Favre | New Hyundai Super Bowl 44 XLIV Commercial,https://www.youtube.com/watch?v=KqAWv2wCW8I,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,176547,306,11,84
2004,Bud Light,Bud Light Paintball Commercial.avi,https://www.youtube.com/watch?v=qbS0gF3YdBg,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,561,6,0,1
2008,Bud Light,Bud Light Commercial - X-Ray Vision,https://www.youtube.com/watch?v=cOEMI8HRhlA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,166102,161,10,24
2016,Toyota,NA,https://www.youtube.com/watch?v=KLkQ9c9-QFI,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA
2006,Bud Light,Funny Bud Light Commercial Secret Magic Fridge,https://www.youtube.com/watch?v=67dRRrRz2t8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,95355,328,14,9
